unet3+_aspp
Epoch: 98, Acc: 0.6997313890300814, Acc_class: 0.5305880760413441, mIoU: 0.40316210154664434, fwIoU: 0.5544801141588229, best_fwIoU: 0.5840707650812618, Loss: 0.416
Epoch: 99, Acc: 0.6255788959440638, Acc_class: 0.4078863279707548, mIoU: 0.2821486058735885, fwIoU: 0.4867023941662067, best_fwIoU: 0.5840707650812618, Loss: 0.657
Epoch: 100, Acc: 0.7184449492907915, Acc_class: 0.6303453700151816, mIoU: 0.4722201316405365, fwIoU: 0.5884913341141335, best_fwIoU: 0.5884913341141335, Loss: 0.377
Epoch: 101, Acc: 0.6956735517157883, Acc_class: 0.5840975048382632, mIoU: 0.418198513617441, fwIoU: 0.5467748054049503, best_fwIoU: 0.5884913341141335, Loss: 0.423
Epoch: 102, Acc: 0.7102509482962186, Acc_class: 0.568850234994023, mIoU: 0.43087460460152693, fwIoU: 0.5743097296408691, best_fwIoU: 0.5884913341141335, Loss: 0.400
Epoch: 103, Acc: 0.7000561385858254, Acc_class: 0.5688012595056052, mIoU: 0.4084654574652955, fwIoU: 0.5608349919539511, best_fwIoU: 0.5884913341141335, Loss: 0.418
Epoch: 104, Acc: 0.5567228598672835, Acc_class: 0.4457337572923583, mIoU: 0.27498070550098846, fwIoU: 0.43101642204745355, best_fwIoU: 0.5884913341141335, Loss: 0.679
Epoch: 105, Acc: 0.28380512800373014, Acc_class: 0.27323269084007146, mIoU: 0.11799345184852875, fwIoU: 0.188702209689453, best_fwIoU: 0.5884913341141335, Loss: 1.488
Epoch: 106, Acc: 0.7168594422887583, Acc_class: 0.5919190410767998, mIoU: 0.44055760301324887, fwIoU: 0.5769327374280065, best_fwIoU: 0.5884913341141335, Loss: 0.394
Epoch: 107, Acc: 0.6987182429579438, Acc_class: 0.5608568463856092, mIoU: 0.40973973255499485, fwIoU: 0.5562208690343792, best_fwIoU: 0.5884913341141335, Loss: 0.422
Epoch: 108, Acc: 0.7452284078129002, Acc_class: 0.602713913119675, mIoU: 0.47499945253655385, fwIoU: 0.6081620840209034, best_fwIoU: 0.6081620840209034, Loss: 0.338
Epoch: 109, Acc: 0.7325289366675205, Acc_class: 0.6445444268207383, mIoU: 0.4881660340065658, fwIoU: 0.6016447966828413, best_fwIoU: 0.6081620840209034, Loss: 0.364
Epoch: 110, Acc: 0.6953871054727523, Acc_class: 0.5568174492716771, mIoU: 0.4112615031259034, fwIoU: 0.5625318656843824, best_fwIoU: 0.6081620840209034, Loss: 0.426
